ICD10;Tekst
B679;Annen og uspesifisert ekinokokkose
B680;Taeniasis som skyldes Taenia solium
B681;Taeniasis som skyldes Taenia saginata
B689;Uspesifisert taeniasis
B690;Cysticerkose i sentralnervesystemet
B691;Cysticerkose i øye
B698;Cysticerkose med annen spesifisert lokalisasjon
B699;Uspesifisert cysticerkose
B700;Diphyllobothriasis
B701;Sparganose
B710;Hymenolepiasis
B711;Dipylidiasis
B718;Andre spesifiserte bendelorminfeksjoner
B719;Uspesifisert bendelorminfeksjon
B72;Dracunculiasis
B73;Onkocerkiasis
B740;Filariasis som skyldes Wuchereria bancrofti
B741;Filariasis som skyldes Brugia malayi
B742;Filariasis som skyldes Brugia timori
B743;Loiasis
B744;Mansonelliasis
B748;Annen spesifisert filariasis
B749;Uspesifisert filariasis
B75;Trikinose
B760;Ankylostomiasis
B761;Necatoriasis
B768;Andre spesifiserte hakeormsykdommer
B769;Uspesifisert hakeormsykdom
B770;Askariasis med tarmkomplikasjoner
B778;Askariasis med andre spesifiserte komplikasjoner
B779;Uspesifisert askariasis
B780;Strongyloidiasis i tarmkanalen
B781;Kutan strongyloidiasis
B787;Disseminert strongyloidiasis
B789;Uspesifisert strongyloidiasis
B79;Trikuriasis
B80;Barneorminfeksjon
B810;Anisakiasis
B811;Capillariasis i tarmkanalen
B812;Trichostrongyliasis
B813;Angiostrongyliasis i tarmkanalen
B814;Blandede ormesykdommer i tarm
B818;Andre spesifiserte ormesykdommer i tarm
B820;Uspesifisert ormesykdom i tarm
B829;Uspesifisert parasittisme i tarm
B830;Visceral larva migrans
B831;Gnathostomiasis
B832;Angiostrongyliasis som skyldes Parastrongylus cantonensis
B833;Syngamiasis
B834;Innvendig hirudiniasis
B838;Andre spesifiserte ormesykdommer
B839;Uspesifisert ormesykdom
B850;Pedikulose som skyldes Pediculus humanus capitis
B851;Pedikulose som skyldes Pediculus humanus corporis
B852;Uspesifisert pedikulose
B853;Ftiriasis
B854;Blandet pedikulose og ftiriasis
B86;Skabb
B870;Kutan myiasis
B871;Myiasis i sår
B872;Okulær myiasis
B873;Nasofaryngeal myiasis
B874;Myiasis i øre
B878;Myiasis med annen spesifisert lokalisasjon
B879;Uspesifisert myiasis
B880;Annen middsykdom
B881;Tungiasis
B882;Andre artropodeinfestasjoner
B883;Utvendig hirudiniasis
B888;Andre spesifiserte infestasjoner
B889;Uspesifisert infestasjon
B89;Uspesifisert parasittsykdom
B900;Følgetilstander etter tuberkulose i sentralnervesystemet
B901;Følgetilstander etter tuberkulose i kjønnsorganer og u.veier
B902;Følgetilstander etter tuberkulose i ben og ledd
B908;Følgetilstander etter tuberkulose i andre spesifiserte org.
B909;F.tilst. etter tbc i å.dr.org. og uspesifisert tbc
B91;Følgetilstander etter poliomyelitt
B92;Følgetilstander etter lepra
B940;Følgetilstander etter trakom
B941;Følgetilstander etter virusencefalitt
B942;Følgetilstander etter virushepatitt
B948;F.tilst. etter andre spes. infek.sykd. og parasittsykd.
B949;Følgetilstander etter uspes. infek.sykdom og parasittsykdom
B950;Strept., serogr. A, som årsak til sykd. klass. i andre kap.
B951;Strept., serogr. B, som årsak til sykd. klass. i andre kap.
B952;Strept.serogr.D/enterokokk som årsak til sykd. i andre kap.
B953;Strept. pneumoniae som årsak til sykd. klass. i andre kap.
B954;Andre spes. strept. som årsak til sykd. klass. i andre kap.
B955;Uspes. strept. som årsak til sykd. klassifisert i andre kap.
B956;Staphylococcus aureus som årsak til sykd. klass. i a. kap.
B957;Andre spes. staf. som årsak til sykd. klass. i andre kap.
B958;Uspes. staf. som årsak til sykdommer klass. i andre kapitler
B960;Mycoplasma pneumoniae s. årsak til sykd. klass. i andre kap.
B961;Klebisella pneumoniae s. årsak til sykd. klass. i andre kap.
B962;Escherichia coli som årsak til sykd. klass. i andre kap.
B963;Haemophilus influenzae s. års. til sykd. klass. i andre kap.
B964;Proteusgr. mikroorg. som årsak til sykd. klass. i andre kap.
B965;Pseudomonas (aeruginosa) som års. til sykd. klass. i a. kap.
B966;B. fragilis som årsak til sykdommer klass. i andre kapitler
B967;C. perfringens som årsak til sykdommer klass. i andre kap.
B968;Andre spes. bakterier som års. til sykd. klass. i andre kap.
B970;Adenovirus som årsak til sykdommer klassifisert i andre kap.
B971;Enterovirus som årsak til sykdommer klass. i andre kapitler
B972;Coronavirus som årsak til sykdommer klass. i andre kapitler
B973;Retrovirus som årsak til sykdommer klassifisert i andre kap.
B974;Resp. syncytialt v. som årsak til sykd. klass. i andre kap.
B975;Reovirus som årsak til sykdommer klassifisert i andre kap.
B976;Parvovirus som årsak til sykdommer klassifisert i andre kap.
B977;Papillomavirus som årsak til sykd. klass. i andre kapitler
B978;Andre spes. virus som årsak til sykd. klass. i andre kap.
B980;Helicobacter pylori som års. til sykd. klass. i andre kap.
B981;Vibrio vulnificus som års. til sykd. klass. i andre kap.
B99;Andre og uspesifiserte infeksjonssykdommer
C000;Ondartet svulst på utside av overleppe
C001;Ondartet svulst på utside av underleppe
C002;Ondartet svulst på utside av leppe, uspesifisert
C003;Ondartet svulst på innside av overleppe
C004;Ondartet svulst på innside av underleppe
C005;Ondartet svulst på innside av leppe, uspesifisert
C006;Ondartet svulst i munnvik
C008;Ondartet overlappende svulst i leppe
C009;Ondartet svulst på leppe, uspesifisert
C01;Ondartet svulst i tungerot
C020;Ondartet svulst på overside av tunge
C021;Ondartet svulst på tungerand
C022;Ondartet svulst på underside av tunge
C023;Ondart. svulst på fremre to tredjedeler av tunge, uspes. del
C024;Ondartet svulst i tungemandel
C028;Ondartet overlappende svulst i tunge
C029;Ondartet svulst på tunge, uspesifisert
C030;Ondartet svulst i tannkjøtt i overkjeve
C031;Ondartet svulst i tannkjøtt i underkjeve
C039;Ondartet svulst i tannkjøtt, uspesifisert
C040;Ondartet svulst i fremre del av munngulv
C041;Ondartet svulst i lateral del av munngulv
C048;Ondartet overlappende svulst i munngulv
C049;Ondartet svulst i munngulv, uspesifisert
C050;Ondartet svulst i hard gane
C051;Ondartet svulst i bløt gane
C052;Ondartet svulst i drøvel
C058;Ondartet overlappende svulst i gane
C059;Ondartet svulst i gane, uspesifisert
C060;Ondartet svulst i kinnslimhinne
C061;Ondartet svulst i vestibulum oris
C062;Ondartet svulst i retromolært område
C068;Ondart. overlappende svulst i andre og uspes. deler av munn
C069;Ondartet svulst i munn, uspesifisert
C07;Ondartet svulst i ørespyttkjertel
C080;Ondartet svulst i submandibularspyttkjertel
C081;Ondartet svulst i sublingvalspyttkjertel
C088;Ondartet overlappende svulst i store spyttkjertler
C089;Ondartet svulst i stor spyttkjertel, uspesifisert
C090;Ondartet svulst i tonsilleseng
C091;Ondartet svulst i ganebuer (fremre/bakre)
C098;Ondartet overlappende svulst i mandel
C099;Ondartet svulst i mandel, uspesifisert
C100;Ondartet svulst i vallecula epiglottica
C101;Ondartet svulst på fremre overflate av strupelokk
C102;Ondartet svulst på sidevegg i oropharynx
C103;Ondartet svulst på bakvegg i oropharynx
C104;Ondartet svulst i gjellebuespalte
C108;Ondartet overlappende svulst i oropharynx
C109;Ondartet svulst i oropharynx, uspesifisert
C110;Ondartet svulst på øvre vegg i nasopharynx
C111;Ondartet svulst på bakre vegg i nasopharynx
C112;Ondartet svulst på sidevegg i nasopharynx
C113;Ondartet svulst på fremre vegg i nasopharynx
C118;Ondartet overlappende svulst i nasopharynx
C119;Ondartet svulst i nasopharynx, uspesifisert
C12;Ondartet svulst i sinus piriformis
C130;Ondartet svulst i postkrikoidalt område
C131;Ondartet svulst i plica aryepiglottica, hypofarygeal side
C132;Ondartet svulst på bakre vegg i hypopharynx
C138;Ondartet overlappende svulst i hypopharynx
C139;Ondartet svulst i hypopharynx, uspesifisert
C140;Ondartet svulst i svelg, uspesifisert
C142;Ondartet svulst i Waldeyers ring
C148;Ondartet overlappende svulst i leppe, munnhule og svelg
C153;Ondartet svulst i øvre tredjedel av spiserør
C154;Ondartet svulst i midtre tredjedel av spiserør
C155;Ondartet svulst i nedre tredjedel av spiserør
C158;Ondartet overlappende svulst i spiserør
C159;Ondartet svulst i spiserør, uspesifisert
C160;Ondartet svulst i cardia ventriculi
C161;Ondartet svulst i fundus ventriculi
C162;Ondartet svulst i corpus ventriculi
C163;Ondartet svulst i antrum pyloricum
C164;Ondartet svulst i pylorus
C165;Ondartet svulst i curvatura minor ventriculi, uspesifisert
C166;Ondartet svulst i curvatura major ventriculi, uspesifisert
C168;Ondartet overlappende svulst i magesekk
C169;Ondartet svulst i magesekk, uspesifisert
C170;Ondartet svulst i tolvfingertarm
C171;Ondartet svulst i jejunum
C172;Ondartet svulst i ileum
C173;Ondartet svulst i Meckels divertikkel
C178;Ondartet overlappende svulst i tynntarm
C179;Ondartet svulst i tynntarm, uspesifisert
C180;Ondartet svulst i blindtarm
C181;Ondartet svulst i blindtarmsvedheng
C182;Ondartet svulst i tykktarm, oppadstigende del
C183;Ondartet svulst i leverfleksur
C184;Ondartet svulst i tverrcolon
C185;Ondartet svulst i miltfleksur
C186;Ondartet svulst i tykktarm, nedadstigende del
C187;Ondartet svulst i sigmoideum
C188;Ondartet overlappende svulst i tykktarm
C189;Ondartet svulst i tykktarm, uspesifisert
C19;Ondartet svulst i overgang mellom sigmoideum og endetarm
C20;Ondartet svulst i endetarm
C210;Ondartet svulst i endetarmsåpning, uspesifisert
C211;Ondartet svulst i analkanal
C212;Ondartet svulst i kloakkogen sone
C218;Ondart. overlapp. svulst i e.tarm, e.tarmsåpning og analk.
C220;Levercellekarsinom
C221;Karsinom i intrahepatisk gallegang
C222;Hepatoblastom
C223;Angiosarkom i lever
C224;Andre sarkom i lever
C227;Andre spesifiserte karsinom i lever
C229;Ondartet svulst i lever, uspesifisert
C23;Ondartet svulst i galleblære
C240;Ondartet svulst i ekstrahepatisk gallegang
C241;Ondartet svulst i Vaters ampulle
C248;Ondartet overlappende svulst i galleveier
C249;Ondartet svulst i galleveier, uspesifisert
C250;Ondartet svulst i bukspyttkjertelhode
C251;Ondartet svulst i bukspyttkjertelkropp
C252;Ondartet svulst i bukspyttkjertelhale
C253;Ondartet svulst i bukspyttkjertels utførselsgang
C254;Ondartet svulst i endokrin bukspyttkjertel
C257;Ondartet svulst i andre spes. deler av bukspyttkjertel
C258;Ondartet overlappende svulst i bukspyttkjertel
C259;Ondartet svulst i bukspyttkjertel, uspesifisert
C260;Ondartet svulst i tarmkanal, uspesifisert del
C261;Ondartet svulst i milt
C268;Ondartet overlappende svulst i fordøyelsessystemet
C269;Ondart. svulster med ufullst. ang. lok. innen fordøy.syst.
C300;Ondartet svulst i nesehule
C301;Ondartet svulst i mellomøre og indre øre
C310;Ondartet svulst i kjevebihule
C311;Ondartet svulst i silbensbihule
C312;Ondartet svulst i pannebihule
C313;Ondartet svulst i kilebensbihule
C318;Ondartet overlappende svulst i bihuler
C319;Ondartet svulst i bihule, uspesifisert
C320;Ondartet svulst i glottis
C321;Ondartet svulst i supraglottis
C322;Ondartet svulst i subglottis
C323;Ondartet svulst i strupebrusk
C328;Ondartet overlappende svulst i strupe
C329;Ondartet svulst i strupe, uspesifisert
C33;Ondartet svulst i luftrør
C340;Ondartet svulst i hovedbronkie
C341;Ondartet svulst i overlapp, bronkie eller lunge
C342;Ondartet svulst i midtlapp, bronkie eller lunge
C343;Ondartet svulst i underlapp, bronkie eller lunge
C348;Ondartet overlappende svulst i bronkie eller lunge
C349;Ondartet svulst i bronkie eller lunge, uspesifisert
C37;Ondartet svulst i thymus
C380;Ondartet svulst i hjerte
C381;Ondartet svulst i fremre mediastinum
C382;Ondartet svulst i bakre mediastinum
C383;Ondartet svulst i mediastinum, uspesifisert
C384;Ondartet svulst i brysthinne
C388;Ondartet overlapp. svu. i hjerte, mediastinum og brysthinne
C390;Ondartet svulst i øvre luftveier, uspesifisert
C398;Ondart. overlapp. svu. i å.dr.org. og intratorakale organer
C399;Ondartede svulster med ufullstendig ang. lok. i å.dr.org.
C400;Ondartet svulst i skulderblad og lange knokler i o.eks.
C401;Ondartet svulst i korte knokler i overekstremitet
C402;Ondartet svulst i lange knokler i underekstremitet
C403;Ondartet svulst i korte knokler i underekstremitet
C408;Ondartet overlappende svulst i knokler og leddbrusk i eks.
C409;Ondartet svulst i knokler og leddbrusk i eks., uspes.
C410;Ondartet svulst i knokler i skalle og ansikt
C411;Ondartet svulst i underkjeve
C412;Ondartet svulst i ryggsøyle
C413;Ondartet svulst i ribben, brystben og krageben
C414;Ondartet svulst i bekkenben, korsben og haleben
C418;Ondartet overlappende svulst i knokler og leddbrusk
C419;Ondartet svulst i knokler og leddbrusk, uspesifisert
C430;Malignt melanom på leppe
C431;Malignt melanom på øyelokk, inklusive øyevinkel
C432;Malignt melanom på øre og i ytre øregang
C433;Malignt melanom i andre og uspesifiserte deler av ansikt
C434;Malignt melanom i hodebunn og på hals
C435;Malignt melanom på trunkus
C436;Malignt melanom på overekstremitet, inklusive skulder
C437;Malignt melanom på underekstremitet, inklusive hofte
C438;Overlappende malignt melanom i hud
C439;Malignt melanom i hud, uspesifisert
C440;Ondartet svulst i hud på leppe
C441;Ondartet svulst i hud på øyelokk, inklusive øyevinkel
C442;Ondartet svulst i hud på øre og i ytre øregang
C443;Ondartet svulst i hud i andre og uspes. deler av ansikt
C444;Ondartet svulst i hud i hodebunn og på hals
C445;Ondartet svulst i hud på trunkus
C446;Ondartet svulst i hud på overekstremitet, inklusive skulder
C447;Ondartet svulst i hud på underekstremitet, inklusive hofte
C448;Ondartet overlappende svulst i hud
C449;Ondartet svulst i hud, uspesifisert
C450;Mesoteliom i brysthinne
C451;Mesoteliom i bukhinne
C452;Mesoteliom i perikard
C457;Mesoteliom med andre spesifiserte utgangspunkter
C459;Mesoteliom, uspesifisert
C460;Kaposis sarkom i hud
C461;Kaposis sarkom i bløtvev
C462;Kaposis sarkom i gane
C463;Kaposis sarkom i lymfeknuter
C467;Kaposis sarkom med andre spesifiserte utgangspunkter
C468;Kaposis sarkom i flere organer
C469;Kaposis sarkom, uspesifisert
C470;Ondartet svulst i perifere nerver i hode, ansikt og på hals
C471;Ondartet svulst i perifere nerver i o.eks., inkl. skulder
C472;Ondartet svulst i perifere nerver i u.eks., inklusive hofte
C473;Ondartet svulst i perifere nerver i toraks
C474;Ondartet svulst i perifere nerver i buken
C475;Ondartet svulst i perifere nerver i bekken
C476;Ondartet svulst i perifere nerver i trunkus, uspesifisert
C478;Ondart. overlapp. svu. i per. n. og det autonome nervesystem
C479;Ondart. svu. i perifere n. og det autonome n.system, uspes.
C480;Ondartet svulst i retroperitoneum
C481;Ondartet svulst i spesifiserte deler av bukhinne
C482;Ondartet svulst i bukhinne, uspesifisert
C488;Ondartet overlappende svulst i retroperitoneum og bukhinne
C490;Ondart. svu. i bindevev og bløtvev i hode, ansikt og på hals
C491;Ondart. svu. i bindevev og bløtvev i o.eks., inkl. skulder
C492;Ondart. svu. i bindevev og bløtvev i u.eks., inklusive hofte
C493;Ondartet svulst i bindevev og bløtvev i toraks
C494;Ondartet svulst i bindevev og bløtvev i buken
C495;Ondartet svulst i bindevev og bløtvev i bekken
C496;Ondartet svulst i bindevev og bløtvev i trunkus, uspes.
C498;Ondartet overlappende svulst i bindevev og bløtvev
C499;Ondartet svulst i bindevev og bløtvev, uspesifisert
C500;Ondartet svulst i brystvorte og areola mammae
C501;Ondartet svulst i sentral del av bryst
C502;Ondartet svulst i øvre indre kvadrant av bryst
C503;Ondartet svulst i nedre indre kvadrant av bryst
C504;Ondartet svulst i øvre ytre kvadrant av bryst
C505;Ondartet svulst i nedre ytre kvadrant av bryst
C506;Ondartet svulst i aksillær del av bryst
C508;Ondartet overlappende svulst i bryst
C509;Ondartet svulst i bryst, uspesifisert
C510;Ondartet svulst i stor kjønnsleppe
C511;Ondartet svulst i liten kjønnsleppe
C512;Ondartet svulst i klitoris
C518;Ondartet overlappende svulst i ytre kvinnelige kjønnsorganer
C519;Ondartet svulst i ytre kvinnelige kjønnsorganer, uspes.
C52;Ondartet svulst i skjede
C530;Ondartet svulst i endocervix
C531;Ondartet svulst i ectocervix
C538;Ondartet overlappende svulst i livmorhals
C539;Ondartet svulst i livmorhals, uspesifisert
C540;Ondartet svulst i isthmus uteri
C541;Ondartet svulst i livmorslimhinne
C542;Ondartet svulst i muskulatur i livmorvegg
C543;Ondartet svulst i fundus uteri
C548;Ondartet overlappende svulst i livmorlegeme
C549;Ondartet svulst i livmorlegeme, uspesifisert
C55;Ondartet svulst i livmor, uspesifisert del
C56;Ondartet svulst i eggstokk
C570;Ondartet svulst i eggleder
C571;Ondartet svulst i ligamentum latum uteri
C572;Ondartet svulst i ligamentum rotundum uteri
C573;Ondartet svulst i parametrium
C574;Ondartet svulst i adnexa uteri, uspesifisert
C577;Ondartet svulst i andre spesifiserte kv. kjønnsorganer
C578;Ondartet overlappende svulst i kvinnelige kjønnsorganer
C579;Ondartet svulst i kvinnelige kjønnsorganer, uspesifisert
C58;Ondartet svulst i morkake
C600;Ondartet svulst i forhud
C601;Ondartet svulst i penishode
C602;Ondartet svulst i penisskaft
C608;Ondartet overlappende svulst i penis
C609;Ondartet svulst i penis, uspesifisert
C61;Ondartet svulst i blærehalskjertel
C620;Ondartet svulst i ikke-descendert testikkel
C621;Ondartet svulst i descendert testikkel
C629;Ondartet svulst i testikkel, uspesifisert
C630;Ondartet svulst i bitestikkel
C631;Ondartet svulst i sædleder
C632;Ondartet svulst i pung
C637;Ondartet svulst i andre spesifiserte mannlige kjønnsorganer
C638;Ondartet overlappende svulst i mannlige kjønnsorganer
C639;Ondartet svulst i mannlig kjønnsorgan, uspesifisert
C64;Ondartet svulst i nyre, unntatt nyrebekken
C65;Ondartet svulst i nyrebekken
C66;Ondartet svulst i urinleder
C670;Ondartet svulst i blæretrekant
C671;Ondartet svulst i blæretak
C672;Ondartet svulst i sidevegg i urinblære
C673;Ondartet svulst i fremre vegg i urinblære
C674;Ondartet svulst i bakre vegg i urinblære
C675;Ondartet svulst i blærehals
C676;Ondartet svulst i urinlederåpning
C677;Ondartet svulst i urachus
C678;Ondartet overlappende svulst i urinblære
C679;Ondartet svulst i urinblære, uspesifisert
C680;Ondartet svulst i urinrør
C681;Ondartet svulst i parauretral kjertel
C688;Ondartet overlappende svulst i urinveisorganer
C689;Ondartet svulst i urinveisorgan, uspesifisert
C690;Ondartet svulst i conjunctiva
C691;Ondartet svulst i hornhinne
C692;Ondartet svulst i netthinne
C693;Ondartet svulst i årehinne
C694;Ondartet svulst i strålelegeme
C695;Ondartet svulst i tårekjertel og tårekanal
C696;Ondartet svulst i øyehule
C698;Ondartet overlappende svulst i øyet og øyets adneksstrukt.
C699;Ondartet svulst i øye, uspesifisert
C700;Ondartet svulst i hjernehinner
C701;Ondartet svulst i ryggmargshinner
C709;Ondartet svulst i hjerne- og ryggmargshinner, uspesifisert
C710;Ondartet svulst i storhjerne, unntatt lapper og ventrikler
C711;Ondartet svulst i pannelapp
C712;Ondartet svulst i tinninglapp
C713;Ondartet svulst i isselapp
C714;Ondartet svulst i bakhodelapp
C715;Ondartet svulst i hjerneventrikkel
C716;Ondartet svulst i lillehjerne
C717;Ondartet svulst i hjernestamme
C718;Ondartet overlappende svulst i hjerne
C719;Ondartet svulst i hjerne, uspesifisert
C720;Ondartet svulst i ryggmarg
C721;Ondartet svulst i cauda equina
C722;Ondartet svulst i nervus olfactorius
